id,content,rate,created_at,product_id,user_id
0,"Go through a lot of stickers every Holiday Season.  I created a word file with my friends and family addresses  so all I need to do is insert these sheets of labels and hit print.  So much easier than hand writing 100+ addresses out every year.  I also print out on plain paper this list to keep track of who I receive cards from, who has moved, divorced, or passed away. Correction are then made to the master file for the next season.",5,,1,299
1,good,5,,1,20
2,Exactly as described,5,,1,33
3,"Great Labels, don't jam my printer like the cheaper ones.",5,,1,14
4,"Avery is a brand well known for labels etc and I have no complaints on this item. Arrived in gr8 condition, needed something fast and got it here with this order. Quality labels for the price. Recommended.",5,,1,99
5,"Our town's energy committee recently had a project for which we needed about 250 peel-off labels.  Our plan was to distribute 250 CFL (compact fluorescent) light bulbs free at our town's community day (sort of like a street fair) in order to encourage people to use the bulbs to reduce electricity use.  CFL light bulbs can save about 75 percent on electricity over incandescent bulbs.  For the 250 bulbs, we calculated that for 8000 hours of use and an electric cost of $0.10/KWh the total savings vs. 100 watt incandescent bulbs for all the bulbs would be about $15,000.  There would also be a saving of 94 tons of carbon dioxide emission.<br /><br />[[ASIN:B00004Z5SN Avery Address Labels]] were a good choice for adding a label indicating the savings for using the bulbs and our committee's name.  The question was how to get the information printed on the labels.  At the Avery web site, I found free software, DesignPro, which makes it possible to produce label designs for different label sizes.  I downloaded the software easily and got started on the design<br /><br />For laser printer labels, there were fourteen pre-made templates for the different size labels.  I chose the template that matched my labels.  Using DesignPro was a little like using PowerPoint.  I was able to cut and paste a graphics image, add the appropriate text, and choose a font for the text.  A test run on my color laser printer produced a beautiful matrix of labels.  The only problem was to find out which side of the label stock had to be up.  I can never remember.  After an up/down test, I had my sheets of labels printed in no time.<br /><br />Our community day give-away was a big success.  Our free light bulbs lasted about four hours.  We had enough time to peel and apply the labels as we gave away the CFLs.  One surprise is that we had to have a sales pitch even for give-aways.  The other surprise was that many people had never seen CFLs before.  I am now a big fan of Avery labels, but I recommend getting the free software to make them work.getting the free software to make them work.",5,,1,315
6,"These Avery address labels are the greatest. I remember all of the secretaries using them at work to address letters and label files and such. I am now blind, and although I can write well, it gets tiring to write for a long time or to do some more tedious writing, like labels. So, when I got ready to send out my Christmas cards this year, I ordered this box of address labels, not that I send that many cards out, but they will still be handy to have for the occasional label or  two. After ordering them, the first thing I did was to go to Avery.com, and download a free template for these labels for use with Microsoft Word. The template makes the job as painless as it can get. As this template will work for several of the Avery products, when first opened, it will say something like, there are 10 columns and 10 rows. You can just delete the columns or rows that you do not need, and then save the template, and you will have just what you need. These particular labels come on a page of 10 rows by 3 columns wide, for a total of 30 labels per sheet. As you arrow down the empty page, you will see the cursor moving from row 1 to row 2, and so forth. When you are on the label that you want, usualally row 1, column 1, you simply type in your address in the normal way. Avery also has a load of free clip art that you can download to personalize your labels, and I put a Christmas motif on mine. It actually made addressing envelopes enjoyable for a change, and with the peel and stick feature, no pastey tongue.",5,,1,9
7,"these work really well, but you have to be careful loading the sheets in the printer so it all lines up right",4,,1,277
8,These are just that I needed. I love the convenience of just pushing a button at work and having supplies like these delivered before I would have had time to go get them.,5,,1,200
9,Hard to get excited about a package of printer-compatible sticky labels.,5,,1,384
10,Product just as describes! Fast shipping! I will order again!,5,,1,82
11,"I've been using Avery labels for my label needs for many years.  The best thing about Avery labels that they stick on very well, smoothly, without puckers. I use the lables also with the colored ink jet printer and black and white laser printer. The paper quality is good and there is no blurring of ink when used with ink jet printers. Laser printer results are excellent as well.<br /><br />I usually do need to print a huge number of labels and can't fill the entire sheet. However I found that I can reliably print the labels on the sheet in two several passes, even when some labels were alredy peeled off. o avoid labels sicking to the printer I flip the sheet and have the part that has no peeled labels go first. This really helps me to save money and only print what I need without waste.<br /><br />Avery redesigned the label sheet to reduce wasted paper. Avery has eliminated the paper between the row of the labels.  Despite less of a hold on the labels I am still able to feed the paper through twice as described above.<br /><br />There is a large variety of free templates for use with Avery labels, all you need to know is the number of the label to get the right template.  Using templates I get perfect results with several different word processors - no waste, all labels get printered and perfectly aligned.<br /><br />You can't go wrong with Avery labels.<br /><br />Ali Julia review",5,,1,323
12,good old standard,5,,1,63
13,As pictured,5,,1,76
14,Great product,5,,1,295
15,"Special events, or meetings enjoy an added touch of elegance with these short, and wide tent cards, with a subtle, attractive embossed border.<br /><br />These thick cards look fantastic, and are suitable for either inkjet, or laser printers.<br /><br />The separation is sharp, and easy considering these cards utilize the entire width of the page, and only need to be detached at top and bottom.",5,,2,322
16,"These medium size tent cards are great for displaying your name in a professional setting.  I have used these a few times for meetings in our office where we have guest speakers and just have our agents names printed on them.  it works very well.  You can go to Avery's website and design your card the way you want, but I just did the bare minimum with people's names on them.<br /><br />If you do trade shows, or cook outs, these would also be great for labeling stuff on the counter.  They were easy to use and gave me no trouble.",4,,2,262
17,"I love how easy Avery has made it for people to have professional looking products, even folks like me, that don't really have much computer knowledge.<br /><br />These cards will have to be torn off and folded, but there's tear lines and creases to make it easier. The large tent cards have 2 per page, and the small ones have 4 per page.<br /><br />To design these cards, Avery has made it super easy, so you don't have to know your way around a computer too much. You can just go to the provided website, and type in the product code(on the front of the package). From there, you can pick from many different designs, and customize your cards. You can make it as cute or as business-y as you'd like. It will automatically print the way it's supposed to if using their site. (I wouldn't know where to begin in order to print them correctly, otherwise.)<br /><br />These are perfect if you want professional looking tent cards for any kind of event or celebration, but have a limited budget and don't know your way around a computer very well.",4,,2,261
18,These tent cards are great. You can set out in front for all you clients to see. The stand up great. Can also be used as place cards as well. Great paper for printing. The design comes out bold and bright. While the lettering comes out sharp. Overall a great quality product,5,,2,115
19,"These cards are handy & attractive heavy paper for DIY table tents. I like the embossed border, and they produce a clean, crisp print. They're convenient and give a clean, unified, professional appearance to whatever your application (panel tables, shop shelves, buffet table). They also coordinate with other sizes of the same product, if you have call for different sizes. They come 2-up, widthwise, on a letter size page and tear cleanly with microperforation.<br /><br />I would describe them as heavyweight paper, or lightweight cardstock. The weight is less flimsy in the medium tents than the large ones.<br /><br />Since the focus here is more on easy customization than a durable product, so I don't think the material is inappropriate to its use. But do understand that these are throwaways; you won't be reusing them for multiple events unless you're the typle to successfully reuse wrapping paper. But they are attractive, and they'll still do nicely for short-term shop signage, as long as they're not by a door (breezes).",4,,2,349
20,Perfect to use for any party or business meeting; I use these in the classroom to do the assigned seats. They are thick cardstock and last for about two weeks f continuous use.,5,,2,256
21,Compatible with inkjet and laser printers. I use the 5309 card stock when I am bringing a dish to a buffet or potluck because the large space allows for the inclusion of ingredients that everyone likes to have.<br /><br />The 5305 is ideal for smaller needs like table setting or name plates in in small venues. I even use them at our annual garage sale to indicate a $1 table or under $5 table.<br /><br />If you don't want the name AVERY embossed on your cards you will need to look elsewhere.<br /><br />Even at list price it is only 25 cents per card.,5,,2,142
22,"These tent cards come two to a sheet and run the whole width of the page, which is a handy size.<br /><br />They are a pure white on medium-weight stock.  The paper takes ink well and is compatible with inkjet or laser printers.  The cards separate easily.<br /><br />There are templates and designs available that work for PC or Mac.",5,,2,197
